,n1,n2,n3,n4,block_type,nf,time
358,12,1,4,3,1,34,0.15297698974609375
359,13,25,94,2,1,3,0.06980347633361816
360,10,15,139,9,1,191,16.382518847783405
361,6,25,58,10,1,6,0.3182549476623535
362,3,10,3,12,0,34,0.15328017870585123
363,9,3,49,11,1,1,0.03069591522216797
364,5,15,40,10,1,50,0.6274946530659994
365,7,23,100,7,1,58,1.4232606887817383
366,7,2,13,1,0,136,0.9833306471506754
367,3,19,118,4,1,10,0.16997392972310385
368,1,25,37,7,1,111,2.1863005956014
369,2,17,46,10,1,1,0.027957359949747723
370,9,3,118,8,1,123,5.167619705200195
371,9,7,23,13,0,3,0.044060468673706055
372,12,7,21,5,0,58,0.4487613836924235
373,10,3,103,13,1,162,8.032522757848104
374,8,3,43,2,1,68,0.8229043483734131
375,12,13,25,4,1,111,1.7993107636769612
376,3,11,25,3,1,123,1.6398646831512451
377,8,13,9,13,0,2,0.01746257146199544
378,2,31,64,7,1,149,5.477359294891357
379,1,7,79,2,1,3,0.04387029012044271
380,11,10,19,12,0,1,0.032422780990600586
381,12,19,55,8,1,1,0.03465421994527181
382,13,27,67,9,1,1,0.04662815729777018
383,3,7,130,13,1,15,0.24380874633789062
384,2,21,85,3,1,2,0.051691691080729164
385,2,27,115,6,1,149,8.187284628550211
386,8,13,17,7,0,3,0.021182139714558918
387,6,6,25,7,0,27,0.12915984789530435
388,8,9,55,11,1,88,1.7750572363535564
389,13,15,16,8,1,15,0.1160576343536377
390,13,31,25,7,1,1,0.029770612716674805
391,1,9,94,5,1,162,6.6090177694956465
392,13,19,73,3,1,68,1.4819884300231934
393,7,5,31,7,1,3,0.028963247934977215
394,6,13,15,6,0,149,2.1119817892710366
395,8,9,22,11,1,99,1.4360206127166748
396,13,29,7,3,1,123,2.0383970737457275
397,2,9,142,10,1,15,0.25638794898986816
398,4,8,1,8,0,111,0.7275527318318685
399,6,14,17,9,0,10,0.052339394887288414
400,6,19,130,12,1,123,6.317915598551433
401,11,5,13,1,0,68,0.42126933733622235
402,3,3,31,13,1,176,3.937261422475179
403,6,8,13,6,0,99,0.8782656192779541
404,5,15,103,2,1,68,1.6091508865356445
405,3,31,85,1,1,34,0.5441358884175619
406,8,13,17,9,0,136,2.68371574083964
407,10,15,106,10,1,88,2.848643700281779
408,1,6,5,2,0,176,0.996599038441976
409,9,17,100,8,1,41,0.8109057744344076
410,10,27,103,6,1,78,2.4096455574035645
411,5,11,1,4,1,21,0.08919191360473633
412,11,21,133,8,1,6,0.12472724914550781
413,6,23,91,7,1,149,6.81548277537028
414,3,27,79,8,1,78,1.9435841242472331
415,2,31,118,12,1,123,6.34446660677592
416,8,25,127,7,1,2,0.09418010711669922
417,1,17,19,7,0,136,1.9412028789520264
418,1,25,94,12,1,136,5.7520372072855634
419,8,9,118,9,1,41,0.8770552476247152
420,3,7,19,13,1,176,3.4156409899393716
421,8,9,67,10,1,162,5.869287808736165
422,7,19,25,7,1,3,0.03432162602742513
423,2,9,11,11,0,68,0.46706287066141766
424,2,3,19,5,0,123,1.120877981185913
425,10,11,97,4,1,191,10.18745223681132
426,5,23,55,3,1,58,0.9590588410695394
427,7,15,1,4,1,99,0.8351766268412272
428,12,5,112,12,1,27,0.469344695409139
429,11,17,25,13,0,162,4.258207639058431
430,9,17,73,1,1,88,2.559370199839274
431,13,5,85,8,1,99,2.901341279347738
432,8,17,133,9,1,149,8.610863844553629
433,8,3,7,9,0,41,0.2541379928588867
434,7,5,25,13,1,88,1.1539157231648762
435,2,7,94,4,1,68,1.7105913162231445
436,10,19,121,4,1,162,9.474201122919718
437,5,17,25,11,0,27,0.22241632143656412
438,10,25,64,5,1,162,6.4348939259847
439,8,31,16,2,1,10,0.10523358980814616
440,12,27,142,7,1,111,6.272719303766887
441,9,7,58,3,1,3,0.04037737846374512
442,3,21,133,7,1,176,14.205350319544474
443,2,9,16,11,1,99,1.1741105715433757
444,1,29,112,9,1,21,0.4164873758951823
445,1,1,139,1,1,50,1.0840706030527751
446,2,31,136,9,1,136,7.97391406695048
447,2,11,19,4,1,27,0.2644970417022705
448,10,5,16,11,1,78,0.8443485101064047
449,6,19,97,3,1,136,5.41193962097168
450,10,21,64,8,1,50,0.8947692712148031
451,3,13,115,10,1,1,0.05848916371663412
452,10,12,1,5,0,88,0.8601477940877279
453,12,31,133,2,1,88,3.593575636545817
454,6,3,100,6,1,41,0.6963318188985189
455,13,19,22,10,1,176,4.81248418490092
456,9,19,43,1,1,162,4.376001040140788
